"","year","stfips","stabb","cntyfips","cntyname","commoditycode","commodityname","insplancode","insplanname","covcateg","claim","acres.total","unitssold","meancov","lostacres","ratio","fullfips","logacres","logunitssold","cat","y2016","y2017","fullfips.ch","commoditycode.ch","insplancode.ch"
"14953",2016,53,"WA",77,"Yakima",54,"APPLES",90,"APH","A",1,18710,919,0.55285141635489,0,0,53077,9.83681341926814,6.82328612235569,0,1,0,"53077","54","90"
"14954",2016,53,"WA",77,"Yakima",57,"CHERRIES",47,"ARH","A",1,8487,509,0.690679863320372,0,0,53077,9.04629085996968,6.23244801655052,0,1,0,"53077","57","47"
"14955",2016,53,"WA",77,"Yakima",41,"CORN",1,"YP","A",1,14,1,0.85,14,1,53077,2.63905732961526,0,0,1,0,"53077","41","1"
"14956",2016,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","A",1,2,1,0.7,0,0,53077,0.693147180559945,0,0,1,0,"53077","218","90"
"14957",2016,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","A",1,13,4,0.75,0,0,53077,2.56494935746154,1.38629436111989,0,1,0,"53077","223","90"
"14958",2016,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","A",1,28,3,0.65,0,0,53077,3.3322045101752,1.09861228866811,0,1,0,"53077","220","90"
"14959",2016,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","A",1,5108,235,0.702750587314017,0,0,53077,8.53856321715243,5.45958551414416,0,1,0,"53077","53","90"
"14960",2016,53,"WA",77,"Yakima",89,"PEARS",90,"APH","A",1,3836,470,0.554900938477581,0,0,53077,8.25218543600333,6.1527326947041,0,1,0,"53077","89","90"
"14961",2016,53,"WA",77,"Yakima",11,"WHEAT",2,"RP","A",1,8534,24,0.798804780876494,0,0,53077,9.05181346374795,3.17805383034795,0,1,0,"53077","11","2"
"30512",2017,53,"WA",77,"Yakima",54,"APPLES",90,"APH","A",1,18397,893,0.553810403870196,0,0,53077,9.81994288682578,6.7945865808765,0,0,1,"53077","54","90"
"30513",2017,53,"WA",77,"Yakima",57,"CHERRIES",47,"ARH","A",1,8090,493,0.693238566131026,0,0,53077,8.99838401005254,6.20050917404269,0,0,1,"53077","57","47"
"30514",2017,53,"WA",77,"Yakima",41,"CORN",2,"RP","A",1,2196,9,0.75,0,0,53077,7.69439280262942,2.19722457733622,0,0,1,"53077","41","2"
"30515",2017,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","A",1,100,11,0.72,0,0,53077,4.60517018598809,2.39789527279837,0,0,1,"53077","218","90"
"30516",2017,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","A",1,14,4,0.75,0,0,53077,2.63905732961526,1.38629436111989,0,0,1,"53077","223","90"
"30517",2017,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","C",1,76,4,0.5,0,0,53077,4.33073334028633,1.38629436111989,1,0,1,"53077","223","90"
"30518",2017,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","A",1,3,2,0.75,0,0,53077,1.09861228866811,0.693147180559945,0,0,1,"53077","220","90"
"30519",2017,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","A",1,6747,329,0.645709204090707,0,0,53077,8.81685324062743,5.79605775076537,0,0,1,"53077","53","90"
"30520",2017,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","C",1,4593,29,0.5,0,0,53077,8.43228868432579,3.36729582998647,1,0,1,"53077","53","90"
"30521",2017,53,"WA",77,"Yakima",89,"PEARS",90,"APH","A",1,4199,499,0.560359609430817,0,0,53077,8.34260168068419,6.21260609575152,0,0,1,"53077","89","90"
"30522",2017,53,"WA",77,"Yakima",89,"PEARS",90,"APH","C",1,928,27,0.5,0,0,53077,6.8330317327862,3.29583686600433,1,0,1,"53077","89","90"
"30523",2017,53,"WA",77,"Yakima",11,"WHEAT",2,"RP","A",1,10455,38,0.772773792443807,0,0,53077,9.25483561186273,3.63758615972639,0,0,1,"53077","11","2"
"30524",2017,53,"WA",77,"Yakima",11,"WHEAT",1,"YP","A",1,882,4,0.75,0,0,53077,6.78219205600679,1.38629436111989,0,0,1,"53077","11","1"
"46339",2018,53,"WA",77,"Yakima",54,"APPLES",90,"APH","A",1,18279,898,0.547989496143115,0,0,53077,9.8135081389166,6.8001700683022,0,0,0,"53077","54","90"
"46340",2018,53,"WA",77,"Yakima",54,"APPLES",90,"APH","C",1,15569,87,0.5,0,0,53077,9.65303703668967,4.46590811865458,1,0,0,"53077","54","90"
"46341",2018,53,"WA",77,"Yakima",57,"CHERRIES",47,"ARH","A",1,7251,469,0.698889808302303,0,0,53077,8.88889466937159,6.15060276844628,0,0,0,"53077","57","47"
"46342",2018,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","A",1,236,21,0.581567796610169,0,0,53077,5.46383180502561,3.04452243772342,0,0,0,"53077","218","90"
"46343",2018,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","A",1,30,4,0.75,0,0,53077,3.40119738166216,1.38629436111989,0,0,0,"53077","223","90"
"46344",2018,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","A",1,33,6,0.681818181818182,0,0,53077,3.49650756146648,1.79175946922805,0,0,0,"53077","220","90"
"46345",2018,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","A",1,1997,107,0.702228342513771,0,0,53077,7.59940133341582,4.67282883446191,0,0,0,"53077","53","90"
