fips,area,latitude,longitude
1001,604.388,32.536382,-86.64449
1003,2027.311,30.659218,-87.746067
1005,904.515,31.87067,-85.405456
1007,626.169,33.015893,-87.127148
1009,650.628,33.977448,-86.567246
1011,625.143,32.101759,-85.717261
1013,777.882,31.751667,-86.681969
1015,612.287,33.771706,-85.822513
1017,603.113,32.917943,-85.391812
1019,599.978,34.069515,-85.654242
1021,700.802,32.85406,-86.726628
1023,920.859,31.991008,-88.248887
1025,1252.574,31.685521,-87.818624
1027,606.001,33.267809,-85.862051
1029,561.013,33.671981,-85.516109
1031,680.495,31.402183,-85.989201
1033,622.129,34.703112,-87.801457
1035,852.722,31.428293,-86.992029
1037,666.349,32.931445,-86.243482
1039,1043.787,31.243987,-86.448721
1041,610.916,31.732826,-86.319222
1043,755.021,34.131923,-86.869267
1045,562.701,31.430654,-85.609476
1047,993.805,32.33354,-87.114356
1049,778.685,34.460929,-85.803992
1051,657.042,32.597229,-86.142739
1053,953.139,31.121748,-87.168429
1055,548.629,34.047638,-86.03442
1057,629.356,33.732249,-87.752049
1059,646.523,34.441988,-87.842815
1061,578.951,31.090866,-85.824346
1063,659.941,32.844497,-87.964201
1065,656.501,32.752796,-87.623061
1067,568.309,31.516978,-85.239971
1069,581.654,31.158193,-85.296398
1071,1126.771,34.763522,-85.9774
1073,1123.814,33.553444,-86.896536
1075,605.464,33.787085,-88.087431
1077,720.99,34.904122,-87.650997
1079,717.199,34.529776,-87.321865
1081,615.849,32.604064,-85.353048
1083,607.188,34.810239,-86.9814
1085,725.071,32.147888,-86.650586
1087,613.207,32.387027,-85.692887
1089,812.702,34.764238,-86.55108
1091,982.671,32.247591,-87.791091
1093,743.571,34.138219,-87.881551
1095,623.179,34.309564,-86.321668
1097,1644.012,30.684573,-88.196568
1099,1034.418,31.580332,-87.383266
1101,799.912,32.203651,-86.203831
1103,599.053,34.454484,-86.846402
1105,723.88,32.639005,-87.293827
1107,890.125,33.296809,-88.096878
1109,673.006,31.798726,-85.941997
1111,584.135,33.296475,-85.464068
1113,647.192,32.289811,-85.18698
1115,653.64,33.712963,-86.315663
1117,809.525,33.262937,-86.678104
1119,913.322,32.597481,-88.200057
1121,760.306,33.369277,-86.175805
1123,766.254,32.863369,-85.799553
1125,1351.252,33.290202,-87.52286
1127,805.194,33.791571,-87.301092
1129,1088.566,31.406974,-88.202078
1131,907.411,31.99033,-87.302205
1133,631.868,34.155888,-87.364147
2013,15009.86,55.243722,-161.950749
2016,14116.438,51.959447,178.338813
2020,1961.001,61.177549,-149.274354
2050,45504.205,60.928916,-160.15335
2060,887.563,58.731373,-156.986612
2068,12776.92,63.682732,-150.026719
2070,20915.207,59.824816,-158.602233
2090,7443.688,64.690832,-146.599867
2100,2725.503,59.099905,-135.578102
2105,10914.153,58.076434,-135.1851
2110,3253.893,58.3727,-134.178781
2122,24752.317,60.366373,-152.321973
2130,6653.563,55.449938,-131.106685
2150,12021.829,57.553611,-153.630911
2164,32922.499,58.205065,-156.705188
2170,25257.607,62.182174,-149.407974
2180,28277.62,64.783686,-164.188912
2185,94796.283,69.449343,-153.47283
2188,40748.935,67.005066,-160.021086
2195,5684.066,56.639612,-133.527996
2198,7683.284,55.415683,-132.875734
2220,4811.431,57.142509,-135.332624
2230,464.036,59.575097,-135.335418
2240,25059.464,63.864997,-143.218628
2261,40340.175,61.34984,-145.023141
2270,19672.951,62.283174,-163.19095
2275,3462.057,56.279121,-132.040326
2282,9462.867,59.999083,-140.239593
2290,147804.631,65.376131,-151.576855
4001,11218.438,35.385845,-109.493747
4003,6218.596,31.881793,-109.75412
4005,18661.342,35.829692,-111.773728
4007,4795.428,33.789618,-110.81187
4009,4641.066,32.931828,-109.87831
4011,1848.433,33.238872,-109.242323
4012,4513.753,33.727625,-114.038793
4013,9224.389,33.346541,-112.495534
4015,13460.649,35.717705,-113.749689
4017,9959.719,35.390934,-110.320908
4019,9189.097,32.128237,-111.783018
4021,5374.234,32.91891,-111.367257
4023,1238.108,31.525904,-110.84519
4025,8127.94,34.630044,-112.573745
4027,5519.109,32.773942,-113.910905
5001,1033.749,34.289574,-91.376547
5003,940.527,33.190835,-91.772267
5005,586.715,36.28071,-92.330438
5007,883.906,36.337825,-94.256187
5009,601.831,36.304308,-93.079204
5011,652.917,33.463819,-92.168164
5013,632.414,33.56046,-92.513879
5015,638.8,36.337774,-93.541663
5017,690.787,33.267139,-91.297158
5019,882.829,34.053312,-93.176205
5021,641.436,36.367302,-90.418704
5023,591.922,35.566288,-92.059974
5025,598.748,33.893201,-92.188714
5027,766.753,33.21507,-93.226901
5029,566.668,35.265702,-92.689248
5031,712.674,35.828268,-90.630411
