"","state_fips","state_long","state_lat","state_group","state_order","census_region","census_number","corn_loss","soybeans_loss","wheat_loss","cotton_loss"
"1",1,-87.4620056152344,30.3896808624268,1,1,"South",3,2126683.09250021,2411149.97139639,32716.2621790124,2972972.89603583
"203",4,-114.637390136719,35.0191802978516,2,204,"West",4,35.8541799783707,0,69.7404196520802,0.0190052767284214
"352",5,-94.051025390625,33.0367469787598,3,354,"South",3,5175573.28941108,64682907.2421616,178907.093917449,502938.960429835
"664",6,-120.006011962891,42.0092658996582,4,667,"West",4,10782440.4969254,0,1284129.87344972,172353.380113462
"1180",8,-102.055244445801,40.0096435546875,5,1184,"West",4,745814.020256413,2.26618428748043,338247.884890484,0
"1259",9,-73.4990234375,42.049373626709,6,1264,"Northeast",1,141498.602562392,0,0,0
"1350",10,-75.8023147583008,39.7288932800293,7,1356,"Northeast",1,2521501.46712002,3324296.47976799,228606.974205395,0
"1444",11,-77.1373062133789,38.9439430236816,8,1451,"South",3,0,0,0,0
"1454",12,-85.0154800415039,30.9970169067383,9,1462,"South",3,177341.420743573,264787.671671486,7637.24766821852,877758.248220024
"2326",13,-80.8901824951172,32.0397987365723,10,2335,"South",3,8210290.0026086,4318235.87510712,177117.284001761,9133342.31786177
"2707",16,-117.026634216309,42.0092658996582,11,2717,"West",4,11313475.4607778,0,2823827.12556941,0
"2940",17,-90.6419219970703,42.507740020752,12,2951,"Midwest",2,6478181.88511105,9035042.11231188,83560.3000021433,0
"3269",18,-88.0235061645508,37.7922973632812,13,3281,"Midwest",2,1882026.73051266,3340039.43808519,14631.0325740475,0
"3526",19,-91.2263412475586,43.4989547729492,14,3539,"Midwest",2,9350468.62342213,8480413.98787582,2752.46880445467,0
"3782",20,-94.6354370117188,37.0245323181152,15,3796,"Midwest",2,2082903.6671891,4907210.38107544,600515.724277127,3.77101373224286
"3895",21,-82.5689468383789,38.428279876709,16,3910,"South",3,2712381.07126786,10977840.7710721,94848.0486055076,0
"4292",22,-94.051025390625,33.0367469787598,17,4308,"South",3,4499788.08935418,19417259.4156479,1592.97706055993,705505.243821387
"4942",23,-70.7373657226562,43.08642578125,18,4959,"Northeast",1,5.54079177742824,0,0,0
"5341",24,-77.7159957885742,39.327823638916,19,5359,"South",3,9227269.52211819,17097824.4170156,805626.69015772,0
"5907",25,-70.4508895874023,41.401927947998,20,5926,"Northeast",1,139383.656570611,0,0,0
"6193",26,-90.4127349853516,46.5585517883301,23,6215,"Midwest",2,7149433.05509079,5633197.62960189,578131.349770666,0
"7023",27,-96.4287948608398,43.4932289123535,25,7047,"Midwest",2,6694946.9994564,11308039.8328944,1286604.71768605,0
"7396",28,-88.1896591186523,34.996265411377,26,7421,"South",3,4774220.26472989,40040143.6601121,17971.5431856025,2247194.06464564
