"","state_fips","state_long","state_lat","state_group","state_order","census_region","census_number","corn_loss","soybeans_loss","wheat_loss","cotton_loss"
"1",1,-87.4620056152344,30.3896808624268,1,1,"South",3,1665612.12208965,1611380.52624238,44487.5834054238,1261766.33725198
"203",4,-114.637390136719,35.0191802978516,2,204,"West",4,46.3462944999337,0,777789.327296622,251085.384774812
"352",5,-94.051025390625,33.0367469787598,3,354,"South",3,3794720.66166385,36377858.4175107,151306.343972641,285839.948487496
"664",6,-120.006011962891,42.0092658996582,4,667,"West",4,9382604.84592767,0,1263846.7327683,3504126.27392475
"1180",8,-102.055244445801,40.0096435546875,5,1184,"West",4,55632.4486896636,467.921380566935,321944.647385822,0
"1259",9,-73.4990234375,42.049373626709,6,1264,"Northeast",1,71482.0008594536,0,0,0
"1350",10,-75.8023147583008,39.7288932800293,7,1356,"Northeast",1,2738852.79008932,4504301.77550563,146973.432077663,0
"1444",11,-77.1373062133789,38.9439430236816,8,1451,"South",3,0,0,0,0
"1454",12,-85.0154800415039,30.9970169067383,9,1462,"South",3,271394.163164757,341404.573140045,8707.78244177182,969684.851564174
"2326",13,-80.8901824951172,32.0397987365723,10,2335,"South",3,9694263.82361411,4578867.37590011,291831.777609097,9618771.62462362
"2707",16,-117.026634216309,42.0092658996582,11,2717,"West",4,6780424.80183169,0,2130828.01433612,0
"2940",17,-90.6419219970703,42.507740020752,12,2951,"Midwest",2,7315960.28044101,15779919.2978836,70059.5569699878,0
"3269",18,-88.0235061645508,37.7922973632812,13,3281,"Midwest",2,2072203.16638304,5104901.34139867,23101.6134313044,0
"3526",19,-91.2263412475586,43.4989547729492,14,3539,"Midwest",2,4849175.56305002,8546245.18251761,2521.08043605646,0
"3782",20,-94.6354370117188,37.0245323181152,15,3796,"Midwest",2,2479886.26550119,8670695.27047198,513310.981965392,11011.5125692551
"3895",21,-82.5689468383789,38.428279876709,16,3910,"South",3,3477292.18284865,9061199.22943654,59903.5132671294,0
"4292",22,-94.051025390625,33.0367469787598,17,4308,"South",3,3818642.00398202,17603709.4891493,1918.85315899657,555736.649300765
"4942",23,-70.7373657226562,43.08642578125,18,4959,"Northeast",1,0.175874742446467,0,0,0
"5341",24,-77.7159957885742,39.327823638916,19,5359,"South",3,11316517.3104399,19539466.3292746,882701.064270189,0
"5907",25,-70.4508895874023,41.401927947998,20,5926,"Northeast",1,174901.468602266,0,0,0
"6193",26,-90.4127349853516,46.5585517883301,23,6215,"Midwest",2,10456946.9136252,14408143.4446641,820604.571233968,0
"7023",27,-96.4287948608398,43.4932289123535,25,7047,"Midwest",2,2136750.10975448,5180269.1641705,178404.027269464,0
"7396",28,-88.1896591186523,34.996265411377,26,7421,"South",3,4830833.02167085,34229527.4641187,21863.5531129621,1801896.29408235
"7778",29,-95.7527084350586,40.6112480163574,27,7804,"Midwest",2,4611934.74544237,14540889.0278153,195626.858128082,25938.1247360189
"8093",30,-104.049133300781,48.9993515014648,28,8120,"West",4,881654.158266587,0,4858747.57192793,0
"8331",31,-104.060592651367,43.0062103271484,29,8359,"Midwest",2,10678246.113768,12676364.3145394,67920.484163077,0
"8539",32,-114.041519165039,36.9958839416504,30,8568,"West",4,673557.30252707,0,105114.292895371,0
"8609",33,-72.4734268188477,42.7311935424805,31,8639,"Northeast",1,0,0,0,0
"8734",34,-74.7251586914062,41.3675537109375,32,8765,"Northeast",1,2875792.08098246,4484435.77796952,149484.203603542,0
"8939",35,-103.00634765625,37.0016136169434,33,8971,"West",4,9331.1227790995,0,62.1154846710851,4197.86845052917
"9017",36,-73.9287414550781,40.8060531616211,34,9050,"Northeast",1,5423509.41474502,3595058.71639576,479693.440952371,0
"9512",37,-75.8939895629883,36.5547065734863,38,9549,"South",3,7039283.26628133,17807533.8298084,630870.580569813,565870.005923632
"10294",38,-104.049133300781,45.9397583007812,41,10334,"Midwest",2,4200475.67019702,20808716.3372007,3370501.02478448,0
"10399",39,-80.5177612304688,40.6456260681152,42,10440,"Midwest",2,3985314.78970332,10769348.8942573,134692.111449873,0
"10637",40,-102.049514770508,37.0016136169434,43,10679,"South",3,751619.083543232,4231970.35435923,3376694.79367105,3614638.44097093
"10921",41,-116.929229736328,45.9970512390137,44,10964,"West",4,406897.114943146,0,1471255.05708612,0
"11157",42,-79.7671813964844,42.2613677978516,45,11201,"Northeast",1,21343755.8406519,21380830.456871,1145336.19955967,0
"11329",44,-71.8431777954102,41.3446350097656,46,11374,"Northeast",1,0,0,0,0
"11395",45,-83.1075286865234,34.9905319213867,47,11441,"South",3,16050832.3763786,17071466.0382942,381235.29419933,3801248.21104917
"11699",46,-96.4345245361328,42.4733619689941,48,11746,"Midwest",2,4211863.87219587,9360821.79709645,244093.483794565,0
"11865",47,-89.7194595336914,36.0046691894531,49,11913,"South",3,5195909.36723076,15262207.5244413,81576.8063103359,297579.896667506
"12154",48,-94.4979248046875,33.6669998168945,50,12203,"South",3,14397134.6478786,3170484.26324753,6179003.91810432,47325097.7990866
"13242",49,-114.047248840332,42.0035362243652,51,13292,"West",4,15.1731219720095,0,130233.95535381,0
"13301",50,-73.3615188598633,45.0115661621094,52,13352,"Northeast",1,15635.4098690376,0.363505052489927,0,0
"13430",51,-75.6418838500977,37.964183807373,53,13482,"South",3,6026835.54120104,12652179.314413,593119.563371332,275104.858023876
"14164",53,-123.01976776123,48.5696334838867,56,14219,"West",4,8948601.40827736,0,3626576.69032511,0
"14709",54,-79.4978942871094,39.7231636047363,61,14769,"South",3,384555.23803561,372776.736522225,14309.5080181875,0
"15082",55,-87.8000564575195,42.502010345459,62,15143,"Midwest",2,8479300.41795138,10674679.7206779,253975.426415886,0
"15470",56,-109.051063537598,40.9951286315918,63,15532,"West",4,320533.201719519,0,3120.40039094814,0
